Date_x,open_x,high_x,low_x,close_x,volume_x,open,high,low,close,volume,High-Low,High-Close,Low-Close,True Range,ATR,+DM,-DM,Smoothed+DM,Smoothed-DM,+DI,-DI,DX,ADX,OBV,RSI,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,positive,neutral,negative,score
1999-11-01,70.88,72.0,68.38,68.56,1861300,70.88,72.0,68.38,68.56,1861300,3.620000000000005,,,3.620000000000005,3.620000000000005,0.0,,0.0,,0.0,,,,-1861300,50.0,68.56,68.56,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1999-11-02,69.0,70.5,67.38,68.06,1395200,69.0,70.5,67.38,68.06,1395200,3.1200000000000045,1.9399999999999975,1.1800000000000068,3.1200000000000045,3.584285714285719,0.0,1.0,0.0,1.0,0.0,27.899561578318018,100.0,100.0,-3256500,0.0,68.48307692307692,68.52296296296296,-0.0398860398860421,-0.0079772079772084,-0.0319088319088336,0.0,1.0,0.0,0.0
1999-11-03,69.06,69.75,67.56,68.81,1812000,69.06,69.75,67.56,68.81,1812000,2.1899999999999977,1.6899999999999975,0.5,2.1899999999999977,3.4846938775510248,0.0,0.0,0.0,0.9285714285714286,0.0,26.647144948755457,100.0,100.0,-1444500,60.0,68.53337278106508,68.54422496570645,-0.0108521846413651,-0.0085522033100397,-0.0022999813313253,0.0,1.0,0.0,0.0
1999-11-04,70.25,71.0,68.0,68.88,2308500,70.25,71.0,68.0,68.88,2308500,3.0,2.1899999999999977,0.8100000000000023,3.0,3.4500728862973804,1.25,0.0,0.0892857142857142,0.8622448979591837,2.587937044470262,24.992077743741387,81.23324396782841,98.65951742627348,864000,62.121212121211926,68.58670004551661,68.56909719046894,0.0176028550476701,-0.0033211916384977,0.0209240466861679,0.0,1.0,0.0,0.0
1999-11-05,71.25,72.0,69.38,70.69,1705200,71.25,72.0,69.38,70.69,1705200,2.6200000000000045,3.1200000000000045,0.5,3.1200000000000045,3.426496251561854,1.0,0.0,0.1543367346938775,0.8006559766763849,4.504214315819791,23.3666088591643,67.67792406029383,96.44654647156064,2569200,84.02555910543128,68.91028465389867,68.72620110228605,0.1840835516126162,0.034159757011725,0.1499237946008912,0.0,1.0,0.0,0.0
1999-11-08,69.94,73.88,69.75,71.38,1502000,69.94,73.88,69.75,71.38,1502000,4.129999999999996,3.1899999999999977,0.9399999999999976,4.129999999999996,3.476746519307435,1.8799999999999957,0.0,0.2775983965014574,0.7434662640566432,7.984430126265137,21.383965150405647,45.62569693681775,92.81648579050758,4071200,86.91099476439788,69.29024086099118,68.922778798413,0.3674620625781699,0.100820218125014,0.2666418444531559,0.0,1.0,0.0,0.0
1999-11-09,72.97,73.0,69.75,72.0,2019800,72.97,73.0,69.75,72.0,2019800,3.25,1.6200000000000043,1.6299999999999957,3.25,3.4605503393569044,0.0,0.0,0.2577699396084961,0.6903615309097401,7.448813464057255,19.949472286481296,45.62569693681774,89.44571515810117,6091000,88.73873873873873,69.70712688237715,69.15072110964167,0.5564057727354879,0.1919373290471088,0.364468443688379,0.0,1.0,0.0,0.0
1999-11-10,71.94,74.0,71.5,73.0,1112300,71.94,74.0,71.5,73.0,1112300,2.5,2.0,0.5,2.5,3.391939600831411,1.0,0.0,0.3107863724936036,0.6410499929876158,9.162497245452885,18.899216036467323,34.69752075789214,85.53512984380053,7203300,90.80882352941175,70.21372274662681,69.43585287929784,0.7778698673289739,0.3091238367034818,0.468746030625492,0.0,1.0,0.0,0.0
1999-11-11,73.94,74.0,72.0,72.44,842800,73.94,74.0,72.0,72.44,842800,2.0,1.0,1.0,2.0,3.292515343629168,0.0,0.0,0.2885873458869176,0.5952607077742147,8.764950676549404,18.079208314883356,34.697520757892136,81.90387205194995,6360500,82.3333333333333,70.55622693945347,69.65838229564615,0.8978446438073178,0.4268679981242491,0.4709766456830687,0.0,1.0,0.0,0.0
1999-11-12,73.5,75.88,71.13,75.13,996300,73.5,75.88,71.13,75.13,996300,4.75,3.4399999999999977,1.3100000000000025,4.75,3.3966213905127987,1.8799999999999957,0.0,0.402259678323566,0.5527420857903422,11.842935437170867,16.27329108078463,15.75729104609562,77.1791162658175,7356800,87.80207134637512,71.25988433338371,70.06368731078348,1.1961970226002308,0.5807338030194454,0.6154632195807853,0.0,1.0,0.0,0.0
