Datetime,positive,neutral,negative,score
2003-04-01 00:00:00+00:00,0.00921754539012909,0.08304743468761444,0.9077349901199341,-0.9798952616778539
2003-04-28 00:00:00+00:00,0.00044893001904711127,0.5961653590202332,0.4033856689929962,-0.9977766639106932
2003-06-24 00:00:00+00:00,0.03568073362112045,0.03869326412677765,0.9256260395050049,-0.9257661869892202
2003-09-03 00:00:00+00:00,0.09573771804571152,0.8823241591453552,0.02193807251751423,0.6271438260577961
2003-10-24 00:00:00+00:00,0.004843522794544697,0.9912147521972656,0.0039416030049324036,0.1026644137145966
2003-12-08 00:00:00+00:00,0.8766319155693054,0.10930891335010529,0.014059166423976421,0.9684308809008992
2004-01-14 00:00:00+00:00,0.8038911819458008,0.1898253858089447,0.006283338647335768,0.9844889255644927
2004-04-08 00:00:00+00:00,0.8999124765396118,0.06512580811977386,0.03496161103248596,0.9252057330559187
2004-05-13 00:00:00+00:00,0.17612411081790924,0.5080170631408691,0.3158588111400604,-0.28402347741267486
2004-06-30 00:00:00+00:00,0.07434726506471634,0.8964952230453491,0.0291574876755476,0.43659615807757646
2004-10-12 00:00:00+00:00,0.004149498883634806,0.7171831727027893,0.2786673307418823,-0.9706559267414939
2004-10-14 00:00:00+00:00,0.000975488277617842,0.4756280481815338,0.5233964323997498,-0.9962794030757492
2004-12-30 00:00:00+00:00,0.22531872987747192,0.7484133839607239,0.02626786194741726,0.7911823380023338
2005-01-19 00:00:00+00:00,0.44428879022598267,0.3082762360572815,0.24743495881557465,0.2845844626314564
2005-03-22 00:00:00+00:00,0.002988488180562854,0.1336933821439743,0.863318145275116,-0.993100622654494
2005-08-24 00:00:00+00:00,0.13235434889793396,0.8393692970275879,0.0282763484865427,0.6479334405320795
2005-08-25 00:00:00+00:00,0.3453100621700287,0.6404163241386414,0.014273541048169136,0.9206107235122851
2005-09-22 00:00:00+00:00,0.032912224531173706,0.9657185673713684,0.0013692710781469941,0.9201160244727067
2005-12-20 00:00:00+00:00,0.6931008696556091,0.027271006256341934,0.27962812781333923,0.42506468185705426
2006-01-03 00:00:00+00:00,0.01135416142642498,0.9829142689704895,0.00573157612234354,0.32908063161058543
2006-01-10 00:00:00+00:00,0.07804417610168457,0.9181519150733948,0.003803930012509227,0.9070490401524498
2006-01-23 00:00:00+00:00,0.49104782938957214,0.4987807273864746,0.010171487927436829,0.959413025092951
2006-01-31 00:00:00+00:00,0.22478842735290527,0.3632234036922455,0.41198816895484924,-0.2939802478410658
2006-02-24 00:00:00+00:00,0.9495065212249756,0.031908608973026276,0.018584884703159332,0.96160510342442
2006-03-01 00:00:00+00:00,0.0061118523590266705,0.7317113280296326,0.2621767520904541,-0.9544382261664226
2006-03-23 00:00:00+00:00,0.00013979720824863762,0.01567652076482773,0.984183669090271,-0.9997159527065339
2006-05-02 00:00:00+00:00,0.7555703520774841,0.19033397734165192,0.054095666855573654,0.8663753557871713
2006-06-09 00:00:00+00:00,0.7998916506767273,0.023503104224801064,0.17660526931285858,0.6382881180726263
2006-08-08 00:00:00+00:00,0.01797257736325264,0.2369735836982727,0.7450538277626038,-0.9528913357584573
2006-08-17 00:00:00+00:00,0.028160523623228073,0.9435411095619202,0.02829836495220661,-0.002441446023053904
2006-08-24 00:00:00+00:00,0.0012876486871391535,0.9099274277687073,0.08878487348556519,-0.9714086237161157
2006-08-28 00:00:00+00:00,0.005195477977395058,0.7007039785385132,0.29410046339035034,-0.9652820017962664
2006-10-09 00:00:00+00:00,0.001069338177330792,0.10680916905403137,0.8921215534210205,-0.9976055775145283
2006-11-07 00:00:00+00:00,0.0011130768107250333,0.2123221755027771,0.7865647673606873,-0.9971737765154588
2006-11-23 00:00:00+00:00,0.0013430106919258833,0.4652478098869324,0.5334092378616333,-0.9949770732313569
2006-11-23 00:00:00+00:00,0.04450947418808937,0.9467878937721252,0.008702602237462997,0.6729087522213654
2007-01-16 00:00:00+00:00,0.00463241757825017,0.7107225060462952,0.28464505076408386,-0.967972496407718
2007-02-03 00:00:00+00:00,0.0383496917784214,0.9479160904884338,0.013734225183725357,0.4726116626863131
2007-02-20 00:00:00+00:00,0.0009169788099825382,0.998738706111908,0.00034432715619914234,0.4540148616889284
2007-02-21 00:00:00+00:00,0.0009169788099825382,0.998738706111908,0.00034432715619914234,0.4540148616889284
2007-03-13 00:00:00+00:00,0.005932904779911041,0.6804140210151672,0.31365302205085754,-0.9628713013820993
2007-04-10 00:00:00+00:00,0.038895461708307266,0.9548565745353699,0.006248018238693476,0.723192884286778
2007-04-28 00:00:00+00:00,0.039685558527708054,0.8361758589744568,0.12413860112428665,-0.515510305537223
2007-12-05 00:00:00+00:00,0.6077250242233276,0.3240235447883606,0.06825147569179535,0.7980655371884521
2007-12-05 00:00:00+00:00,0.17083099484443665,0.6350241303443909,0.1941448301076889,-0.06387775208484116
2008-05-14 00:00:00+00:00,0.46693429350852966,0.5078433156013489,0.025222375988960266,0.8975026549382609
2008-07-21 00:00:00+00:00,0.05422789976000786,0.9406094551086426,0.005162649322301149,0.8261457621768654
2008-11-20 00:00:00+00:00,0.7727121710777283,0.18617533147335052,0.04111252725124359,0.8989646607293683
2008-12-29 00:00:00+00:00,0.6799860000610352,0.24312330782413483,0.07689068466424942,0.7968211038442606
2009-03-10 00:00:00+00:00,0.025055620819330215,0.8337895274162292,0.1411549150943756,-0.6985074299701586
2009-05-13 00:00:00+00:00,0.009542679414153099,0.9838923215866089,0.0065649887546896935,0.18486168378010043
2009-06-04 00:00:00+00:00,0.0007599986856803298,0.005632148589938879,0.9936078786849976,-0.998471393328413
