Date,open,high,low,close,volume,High-Low,High-Close,Low-Close,True Range,ATR,+DM,-DM,Smoothed+DM,Smoothed-DM,+DI,-DI,DX,ADX,OBV,RSI,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram
1999-11-01,80.0,80.69,77.37,77.62,2487300,3.319999999999993,,,3.319999999999993,3.319999999999993,0.0,,0.0,,0.0,,,,-2487300,50.0,77.62,77.62,0.0,0.0,0.0
1999-11-02,78.0,81.69,77.31,80.25,3564600,4.3799999999999955,4.069999999999993,0.3100000000000023,4.3799999999999955,3.395714285714279,1.0,0.0,0.07142857142857142,0.0,2.103491796381998,0.0,100.0,100.0,1077300,100.0,78.0246153846154,77.81481481481482,0.20980056980057782,0.041960113960115564,0.16784045584046225
1999-11-03,81.62,83.25,81.0,81.5,2932700,2.25,3.0,0.75,3.0,3.3674489795918308,1.5600000000000023,0.0,0.1777551020408165,0.0,5.2786279203660635,0.0,100.0,100.0,4010000,100.0,78.5592899408284,78.08779149519891,0.47149844562949283,0.12786778029399104,0.3436306653355018
1999-11-04,82.06,85.37,80.62,83.62,3384700,4.75,3.8700000000000045,0.8799999999999955,4.75,3.4662026239067,2.1200000000000045,0.0,0.3164868804664728,0.0,9.130651459428115,0.0,100.0,100.0,7394700,100.0,79.3378607191625,78.49758471777677,0.8402760013857318,0.27034942451233923,0.5699265768733925
1999-11-05,84.62,88.37,84.0,88.31,3721500,4.3700000000000045,4.75,0.37999999999999545,4.75,3.557902436484793,3.0,0.0,0.5081663890045819,0.0,14.282752213594991,0.0,100.0,100.0,11116200,100.0,80.71818983929136,79.22443029423776,1.4937595450535923,0.5150314486205898,0.9787280964330025
1999-11-08,87.75,97.73,86.75,96.37,8490400,10.980000000000004,9.420000000000002,1.5600000000000023,10.980000000000004,4.088052262450165,9.36,0.0,1.1404402183613973,0.0,27.896908971459112,0.0,100.0,100.0,19606600,100.0,83.12616063324653,80.4944724946646,2.6316881385819215,0.9383627866128562,1.6933253519690652
1999-11-09,94.37,94.5,88.0,89.62,7224800,6.5,1.8700000000000045,8.370000000000005,8.370000000000005,4.393905672275154,0.0,0.0,1.0589802027641546,0.0,24.101113718625125,0.0,100.0,100.0,12381800,73.52941176470588,84.1252128435163,81.17043749505983,2.954775348456465,1.3416452989815781,1.613130049474887
1999-11-10,88.25,93.25,88.12,91.44,5159800,5.1299999999999955,3.6299999999999955,1.5,5.1299999999999955,4.446483838541214,0.0,0.0,0.9833387597095722,0.0,22.114974335140783,0.0,100.0,100.0,17541600,75.29282576866764,85.25056471374457,81.9311458287591,3.319418884985467,1.737200016182356,1.582218868803111
1999-11-11,91.59,92.62,89.87,92.25,2409600,2.75,1.1800000000000068,1.5699999999999932,2.75,4.325306421502556,0.0,0.0,0.9131002768731742,0.0,21.110649463673717,0.0,100.0,100.0,19951200,76.00426590828297,86.32740091163002,82.69550539699917,3.6318955146308554,2.116139115872056,1.5157563987587994
1999-11-12,91.94,92.0,87.37,90.62,2491600,4.6299999999999955,0.25,4.8799999999999955,4.8799999999999955,4.36492739139523,0.0,2.5,0.8478788285250903,0.17857142857142855,19.424809452650933,4.091051524097609,65.206023898996,97.51471599278543,17459600,71.84139784946237,86.98780077137926,83.28250499722145,3.705295774157804,2.4339704475292057,1.2713253266285984
